state,abbr,environmental_agency,drug_take_back_law_year,home_sharps_trash_rule,healthcare_establishments_cbp2022
Alabama,AL,Alabama Department of Environmental Management (ADEM),,none/standard,5777
Alaska,AK,Alaska Department of Environmental Conservation (DEC),,none/standard,897
Arizona,AZ,Arizona Department of Environmental Quality (ADEQ),,none/standard,9303
Arkansas,AR,Arkansas Division of Environmental Quality (DEQ),,none/standard,3945
California,CA,California Department of Public Health (CDPH),2018,ban,61266
Colorado,CO,Colorado Department of Public Health & Environment (CDPHE),,none/standard,7475
Connecticut,CT,Connecticut Department of Energy & Environmental Protection (DEEP),,none/standard,5570
Delaware,DE,Delaware Department of Natural Resources & Environmental Control (DNREC),,none/standard,1140
District of Columbia,DC,DC Department of Energy & Environment (DOEE),,none/standard,816
Florida,FL,Florida Department of Health (DOH),,none/standard,34890
Georgia,GA,Georgia Environmental Protection Division (EPD),,none/standard,13639
Hawaii,HI,Hawaii Department of Health,,none/standard,1814
Idaho,ID,Idaho Department of Environmental Quality (DEQ),,none/standard,2622
Illinois,IL,Illinois Environmental Protection Agency (IEPA),2022,none/standard,16058
Indiana,IN,Indiana Department of Environmental Management (IDEM),,none/standard,7738
Iowa,IA,Iowa Department of Natural Resources (DNR),,none/standard,3368
Kansas,KS,Kansas Department of Health & Environment (KDHE),,none/standard,3651
Kentucky,KY,Kentucky Energy & Environment Cabinet,,none/standard,5911
Louisiana,LA,Louisiana Department of Environmental Quality (LDEQ),,none/standard,6369
Maine,ME,Maine Department of Environmental Protection (DEP),2021,none/standard,1471
Maryland,MD,Maryland Department of the Environment (MDE),,none/standard,7995
Massachusetts,MA,Massachusetts Department of Environmental Protection (MassDEP),2016,ban,7719
Michigan,MI,"Michigan Department of Environment, Great Lakes & Energy (EGLE)",,none/standard,13449
Minnesota,MN,Minnesota Pollution Control Agency (MPCA),,none/standard,4986
Mississippi,MS,Mississippi Department of Environmental Quality (MDEQ),,none/standard,3349
Missouri,MO,Missouri Department of Natural Resources (DNR),,none/standard,7098
Montana,MT,Montana Department of Environmental Quality (DEQ),,none/standard,1356
Nebraska,NE,Nebraska Department of Environment & Energy (NDEE),,none/standard,2348
Nevada,NV,Nevada Division of Environmental Protection (NDEP),,none/standard,4329
New Hampshire,NH,New Hampshire Department of Environmental Services (DES),,none/standard,1708
New Jersey,NJ,New Jersey Department of Environmental Protection (NJDEP),,none/standard,14892
New Mexico,NM,New Mexico Environment Department (NMED),,none/standard,2046
New York,NY,New York State Department of Environmental Conservation (DEC),2018,none/standard,27254
North Carolina,NC,North Carolina Department of Environmental Quality (DEQ),,none/standard,11869
North Dakota,ND,North Dakota Department of Environmental Quality (DEQ),,none/standard,818
Ohio,OH,Ohio Environmental Protection Agency (Ohio EPA),,none/standard,13093
Oklahoma,OK,Oklahoma Department of Environmental Quality (DEQ),,none/standard,5169
Oregon,OR,Oregon Department of Environmental Quality (DEQ),2019,none/standard,4934
Pennsylvania,PA,Pennsylvania Department of Environmental Protection (DEP),,none/standard,16450
Rhode Island,RI,Rhode Island Department of Environmental Management (DEM),,none/standard,1226
South Carolina,SC,South Carolina Department of Environmental Services (DES),,none/standard,5572
South Dakota,SD,South Dakota Department of Agriculture & Natural Resources (DANR),,none/standard,1054
Tennessee,TN,Tennessee Department of Environment & Conservation (TDEC),,none/standard,8479
Texas,TX,Texas Commission on Environmental Quality (TCEQ),,none/standard,40377
Utah,UT,Utah Department of Environmental Quality (DEQ),,none/standard,4404
Vermont,VT,Vermont Department of Environmental Conservation (DEC),2016,none/standard,792
Virginia,VA,Virginia Department of Environmental Quality (DEQ),,none/standard,10336
Washington,WA,Washington State Department of Health,2018,conditional,8453
West Virginia,WV,West Virginia Department of Environmental Protection (DEP),,none/standard,2113
Wisconsin,WI,Wisconsin Department of Natural Resources (DNR),,none/standard,6456
Wyoming,WY,Wyoming Department of Environmental Quality (DEQ),,none/standard,767
